update,simulated_seconds,score,active_targets,detached_tracked,component_total,obstacles,coins,platforms,gaps,powerups,used_letters,terrain_segments,coin_effects,pending_events,rss_bytes
3420,28.500,550,32,0,42,1,15,9,6,1,23,7,1,0,170622976
3480,29.000,560,31,0,41,1,15,9,5,1,22,8,1,0,170655744
3540,29.500,570,32,0,42,1,15,9,6,1,23,8,1,0,170672128
3600,30.000,580,31,0,41,1,15,9,5,1,23,7,1,0,170704896
3660,30.500,590,28,0,38,1,14,7,5,1,20,8,1,0,170721280
3720,31.000,600,29,0,39,1,14,8,5,1,21,8,1,0,170737664
3780,31.500,610,28,0,38,1,14,7,5,1,20,8,1,0,170754048
3840,32.000,620,29,0,39,1,14,8,5,1,21,7,1,0,170770432
3900,32.500,630,29,0,39,1,14,8,5,1,21,8,1,0,170852352
3960,33.000,640,27,0,37,1,13,7,5,1,21,8,1,0,170868736
4020,33.500,650,27,0,37,1,14,8,4,0,21,7,1,0,170901504
4080,34.000,660,27,0,37,1,13,7,5,1,23,8,1,0,170917888
4140,34.500,670,28,0,38,1,13,8,5,1,24,7,1,0,170950656
4200,35.000,680,26,0,36,1,13,7,4,1,22,7,1,0,170950656
4260,35.500,690,28,0,38,1,13,8,5,1,24,7,1,0,170983424
4320,36.000,700,25,0,35,1,12,7,4,1,21,7,1,0,171016192
4380,36.500,700,23,0,31,0,11,7,4,1,20,7,0,0,174604288
4440,37.000,700,21,0,29,0,10,6,4,1,18,7,0,0,171507712
4500,37.500,700,18,0,26,0,9,5,3,1,15,8,0,0,171524096
4560,38.000,700,17,0,25,0,8,5,3,1,14,7,0,0,171524096
4620,38.500,700,14,0,22,0,7,4,2,1,12,7,0,0,171540480
4680,39.000,700,13,0,21,0,6,4,2,1,11,7,0,0,172244992
4740,39.500,700,11,0,19,0,5,3,2,1,9,7,0,0,171589632
4800,40.000,700,8,0,16,0,4,2,1,1,7,7,0,0,171606016
4860,40.500,700,7,0,15,0,3,2,1,1,6,7,0,0,171655168
4920,41.000,700,4,0,12,0,2,1,0,1,3,7,0,0,171671552
4980,41.500,700,3,0,11,0,2,1,0,0,2,7,0,0,171687936
5040,42.000,700,1,0,9,0,1,0,0,0,1,7,0,0,171737088
5069,42.242,700,0,0,8,0,0,0,0,0,0,7,0,0,171737088
